"Home","Home"
"Search entire store here...","Type and hit enter"
"Your Language:","Language:"
"Currency:","Currency:"
"Shopping cart","Bag"
"BAG","BAG"
"item(s)","item(s)"
"Navigation","Navigation"
"Special Price",""
"Special Price:",""
"Regular Price:",""
"Newsletter","newsletters signup"
"Your email","Your email"
"Subscribe","Subscribe"
"Sign Up","Sign Up"
"My Wishlist","Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"My Account","Account"
"Cart","Cart"
"View contents of your shopping cart","View contents of your shopping cart"
"View shopping cart","View shopping cart"
"Your cart is empty","Your cart is empty"
"Continue to Checkout","Continue to Checkout"
"Currency","Currency"
"Language","Language"
"Sign Up","Sign Up"
"Enter your e-mail","Enter your e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Sign Up","Sign Up"
"From Twitter","From Twitter"
"Facebook","Facebook"
"Categories","Categories"
"Related Products","Related Products"
"Popular Products","Popular Products"
"Availability:",""
"Sign In","Sign In"
"Create an Account","Register"
"No tags connected to product","No tags connected to product"
"View as","View"
"Price","Price"
"Price Slider","Price Slider"
"prev","Previous"
"next","Next"
"Qty","Quantity"
"You may also be interested in the following product(s)","We recommend"
"Unable to find Product ID","Unable to find Product ID"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Quote item is not found.","Quote item is not found."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"Cannot update the item.","Cannot update the item."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"Wishlist Has Been Disabled By Admin","Wishlist Has Been Disabled By Admin"
"Please Login First","Please Login First"
"Unable to Create Wishlist","Unable to Create Wishlist"
"Product Not Found","Product Not Found"
"Cannot specify product.","Cannot specify product."
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"View Cart","View Cart"
"Continue to Checkout","Continue to Checkout"
"Edit item","Edit item"
"Remove This Item","Remove This Item"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Description","Description"
"Short Description","Short Description"
"No tags connected to product","No tags connected to product"
"You need to specify a username","You need to specify a username"
"There was an error connecting to your Twitter account","There was an error connecting to your Twitter account"
"Follow us","Follow us"
"on Twitter","on Twitter"
"On Sale","On Sale"
"New Products","New Products"
"quick view","quick view"
"WRITE YOUR REVIEW", "WRITE YOUR REVIEW"
"more...","more..."
"less...","less..."
"Popular Brands","Popular Brands"