"General Settings","General Settings"
"Hide Configuration Drop-Downs","Hide Configuration Drop-Downs"
"Reload Product Images","Reload Product Images"
"If set to 'Yes', default product images will be replaced with images of the specific simple product, configured by customer","If set to 'Yes', default product images will be replaced with images of the specific simple product, configured by customer"
"Show \"Reset Configuration\" option","Show \"Reset Configuration\" option"
"Choose previous option please...","Choose previous option please..."
"Reset Configuration","Reset Configuration"
"Use images for selection of configurable product options","Use images for selection of configurable product options"
"&uarr;  This is a required field.","&uarr;  This is a required field."
"Minimal Price","Minimal Price"
"From Starting Price","From Starting Price"
"Color Picker","Color Picker"
"Select Color","Select Color"
"Click or drop files here","Click or drop files here"
"Apply","Apply"
"Cancel","Cancel"