<b>Enable Tweaks</b>,<b>Enable Tweaks</b>
Category Single Product Redirect,Category Single Product Redirect
Checked By Default,Checked By Default
Checkout Newsletter,Checkout Newsletter
Confirmation request has been sent regarding your newsletter subscription,Confirmation request has been sent regarding your newsletter subscription
Magento Tweaks,Magento Tweaks
Onepage Checkout Newsletter Checkbox,Onepage Checkout Newsletter Checkbox
Order View Previous/Next Bottons,Order View Previous/Next Bottons
Sign Up for Newsletter,Sign Up for Newsletter
There was a problem with the newsletter subscription,There was a problem with the newsletter subscription
There was a problem with the newsletter subscription: %s,There was a problem with the newsletter subscription: %s
Tweaks,Tweaks
View Next,View Next
View Previous,View Previous
Visible To Guest,Visible To Guest
Visible To Registrant,Visible To Registrant
Less..,Less..
More..,More..
Order View Products Column (Frontend),Order View Products Column (Frontend)
Order View Products Column (Backend),Order View Products Column (Backend)