"Invoice (notify Customer)","Factura (Notificando al Cliente)"
"Invoice (don't notify Customer)","Factura (Sin notificar al cliente)"
"Invoice / Print (notify Customer)","Factura / Imprimir (Notificando al cliente)"
"Invoice / Print (don't notify Customer)","Factura / Imprimir (Sin notificar al cliente)"
"Ship (notify Customer)","Envio (Notificando al cliente)"
"Ship (don't notify Customer)","Envio (Sin notificar al cliente.)"
"Ship / Print (notify Customer)","Envio / Imprimir Albaran (Notificando al cliente)"
"Ship / Print (don't notify Customer)","Envio / Imprimir Albaran (Sin notificar al cliente)"
"Invoice / Ship (notify Customer)","Factura / Envio (Notificando al cliente)"
"Invoice / Ship (don't notify Customer)","Factura / Envio (Sin notificar al cliente)"
"Invoice / Ship / Print (notify Customer)","Factura / Envio / Imprimir (Notificando al cliente)"
"Invoice / Ship / Print (don't notify Customer)","Factura / Envio / Imprimir (Sin notificar al cliente)"
"Invoice / Ship / Complete (notify Customer)","Factura / Envio / Pedido Completado (Notificando al cliente)"
"Invoice / Ship / Complete (don't notify Customer)","Factura / Envio / Pedido Completado (Sin notificar al cliente)"
"Invoice / Ship / Complete / Print (notify Customer)","Factura / Envio / Pedido completado / Imprimir (Notificando al cliente)"
"Invoice / Ship / Complete / Print (don't notify Customer)","Factura / Envio / Pedido Completado / Imprimir (Sin notificar al cliente)"
"Complete Order","Pedido Completado"
"Set Order Status to '%s'","Cambiar estado del pedido a '%s'"
"Delete Order (canceled-only)","Borrar pedido (Solo pedidos cancelados)"